Favourites,b1984,1984,George Orwell,1840,I Like this book,4.5,"Dark,Serious",book image.png,81% 
,Animal-Farm,Animal Farm,Georeg Orwell,1340, I like this book too, 2.9,"children",book image 9.jpg,14%
,bodyKeepsScore,The body keeps the score, german ddue,1240, I don't liek this book,2.4,healing,book image 9.jpg,69% 
,bodyKeepsScore1,Monkey in the sea, german ddue,1240, I don't liek this book,1.2,healing,book image 9.jpg,69% 
,bodyKeepsScore2,1232, german ddue,1240, I don't liek this book,3.7,healing,book image 9.jpg,69% 
Not so favorite,book1,1984,George Orwell,1840,I Like this book,4,"Dark,Serious",book image.png,69% 
,book2,1345,Georeg Orwell,1340, I like this book too, 5,"children",book image 9.jpg,69%g
,book3,1232, german ddue,1240, I don't liek this book,2,healing,book image 9.jpg,69% 
,book4,1232, german ddue,1240, I don't liek this book,2,healing,book image 9.jpg,69% 
,book5,1232, german ddue,1240, I don't liek this book,2,healing,book image 9.jpg,69% 
